rho,seed,steps,k_opt_mean,k_opt_var,k_opt_med,k_opt_p90,sigma_min_Ag,infeasible_rate,solve_ms_mean,solve_ms_total,success,npz_path
0.1,2,400,83.25,66631.9375,40.0,40.0,3.174564424147192e-05,0.02,88.67127499834169,35468.509999336675,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.1,3,400,107.075,74880.694375,40.0,40.0,0.00010177388396007284,0.0325,97.81107300223084,39124.42920089234,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
0.1,4,400,152.775,115777.04937500002,40.0,832.0000000000005,6.826827766294833e-05,0.055,136.7648849991383,54705.95399965532,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
0.1,5,400,156.2,133257.55999999997,40.0,121.00000000001842,7.738569481752608e-05,0.055,134.5863395006745,53834.535800269805,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
0.1,6,400,98.15,53452.0775,40.0,40.0,5.804138620320397e-05,0.0425,137.586715000798,55034.6860003192,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.1,7,400,138.075,105400.54437499998,40.0,40.0,9.462078809012934e-05,0.0425,130.38574600155698,52154.29840062279,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.1,8,400,150.325,118162.14437499997,40.0,119.00000000001796,3.423669892921651e-05,0.0425,123.8275092470576,49531.00369882304,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.1,9,400,155.85,152778.27750000003,40.0,40.0,5.796960298643731e-05,0.0525,143.71670999447815,57486.68399779126,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
0.2,0,400,554.35,743279.0775,40.0,2000.0,2.6920295148918735e-06,0.03,134.46901450224686,53787.605800898746,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.2,1,400,559.3,747963.51,40.0,2000.0,3.1279908395840227e-06,0.0175,115.73584774683695,46294.33909873478,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
0.2,2,400,520.15,710452.9775,40.0,2000.0,2.662349751311362e-06,0.015,125.61798649810953,50247.19459924381,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.2,3,400,539.475,728868.474375,40.0,2000.0,2.7627643344126034e-06,0.0325,131.58303750358755,52633.21500143502,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
0.2,4,400,564.275,752665.9743749999,40.0,2000.0,5.3366761226917496e-05,0.0275,129.91193850233685,51964.77540093474,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
0.2,5,400,583.75,769800.9375,40.0,2000.0,3.508833554211006e-05,0.0125,129.25266799982637,51701.06719993055,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
0.2,6,400,559.375,748175.859375,40.0,2000.0,2.708504552474448e-06,0.0275,127.20372400188353,50881.48960075341,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.2,7,400,583.85,770076.1775,40.0,2000.0,3.0937382966292537e-06,0.015,120.43972974992357,48175.89189996943,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.2,8,400,588.75,774326.4375,40.0,2000.0,3.270615659464127e-05,0.02,137.7299467488774,55091.978699550964,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.2,9,400,569.025,756682.299375,40.0,2000.0,2.7972539402426344e-06,0.035,131.15720850240905,52462.88340096362,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
