file,K,seed,total_cost,rmse_ee,ISE,IAE,sigma_min_all,solve_ms_mean,solve_ms_p95,solve_ms_max,sigma_Mk_min,sigma_Mk_mean,sigma_Mk_p10,slack_inf_max,slack_inf_mean,slack_violation_rate,kkt_max,eq_max,status_fail_count
run_fixedk_K260_seed003.npz,260,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,62.38188999821432,90.96979515161364,181.13009980879724,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K260_seed004.npz,260,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.15629600267857,91.98443999048322,107.06990002654493,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K310_seed000.npz,310,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.4868594952859,88.78684500232339,185.06769998930395,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K310_seed001.npz,310,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,63.00621650763787,92.70558998687191,191.59800000488758,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K310_seed002.npz,310,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,64.47073699790053,95.82914998754859,164.85369997099042,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K310_seed003.npz,310,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.27830551355146,90.0253099272959,101.94210009649396,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K310_seed004.npz,310,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,61.64544750703499,93.85174494236708,185.0938000716269,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K360_seed000.npz,360,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.607592014130205,90.02957002958283,101.50999994948506,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K360_seed001.npz,360,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,61.83070100611076,90.92188015347347,110.87730014696717,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K360_seed002.npz,360,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.62295799469575,93.38215484749524,115.5805999878794,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K360_seed003.npz,360,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,62.60093949502334,93.63119495101272,109.12080015987158,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K360_seed004.npz,360,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.80340699409135,91.14234487060457,124.50190004892647,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K410_seed000.npz,410,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,66.43665950046852,100.7723549613729,167.11530019529164,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K410_seed001.npz,410,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,62.13780898367986,91.49294485105202,140.66670020110905,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K410_seed002.npz,410,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,62.66276899026707,94.45843003923072,144.51210014522076,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K410_seed003.npz,410,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.85889148968272,89.66622003354131,107.59639996103942,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K410_seed004.npz,410,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.18223749473691,91.1204399424605,101.92080005072057,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K460_seed000.npz,460,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.85063899401575,88.68315501604229,106.27039987593889,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K460_seed001.npz,460,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,63.022248999914154,90.64321505138649,126.49719999171793,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K460_seed002.npz,460,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,62.673544998979196,93.88942500809208,109.56340003758669,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K460_seed003.npz,460,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,60.833767992444336,89.10256498493253,92.00570010580122,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K460_seed004.npz,460,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.53012299351394,91.9419000390917,154.05910019762814,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K510_seed000.npz,510,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,59.17090500704944,86.7680449038744,90.28240013867617,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K510_seed001.npz,510,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,62.80511449556798,92.48699503950775,115.73989992029965,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K510_seed002.npz,510,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.04250750155188,92.64399494277313,107.38159995526075,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K510_seed003.npz,510,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.457799503114074,89.05210003722459,105.1505000796169,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
