trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
61,2000,0.7,1,0.061492312600746835,0.0631230360443952,295.1313832507003,770.5820700095497,0.003944176025831653,0.00016742173264620134,3,0,315.245,356.04999999999995
62,2000,0.8,1,0.057394966358020785,0.05535155227438564,289.88825300039025,916.7322849854827,0.010811823425083765,0.00030395833332668744,3,0,383.81,467.14999999999986
63,2000,1.0,1,0.07182265887719799,0.08485335698728903,82.1165172525798,148.9725849765818,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
64,2000,2.0,1,0.04116917983163001,0.030307002805419186,223.89908875222318,331.66748500661896,0.0006775484769913904,0.00010535578586218647,2,398,198.2636815920398,180.0
65,2000,5.0,1,0.04750127222875112,0.03955619744195596,219.19608425348997,327.6906050159591,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
66,10000,0.2,1,0.04019373023493323,0.029141567391365076,177.42948174709454,249.22263000044035,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
67,10000,0.3,1,0.04992997950041068,0.04310801465473901,229.35601100092754,351.54309499193914,0.002178915799375993,0.00014631099234586593,5,0,103.2425,113.0
68,10000,0.4,1,0.06710637680616714,0.07519033423159448,314.7019787543104,536.6021499794441,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
69,10000,0.45,1,0.05038683039734372,0.04369880691906859,294.22219475440215,414.3753700482192,0.0006601364933178433,0.00010649214068371,4,0,176.45,189.0
70,10000,0.5,1,0.06862306897231171,0.07830081383178218,296.08692975190934,456.31120497710043,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
71,10000,0.55,1,0.05106893403428323,0.04455103536901499,321.8235992535483,628.1169799214692,0.005969977805106452,0.00014635733124738484,3,0,226.8,247.04999999999995
72,10000,0.6,1,0.059213106005791764,0.058891282588439786,320.40568674972747,678.716165019432,0.005325328121663746,0.0001593590228898945,3,0,256.3375,293.04999999999995
73,10000,0.65,1,0.05806932731273876,0.05666855436054707,261.9069557520561,595.2662600029719,0.001225543201715687,0.00010312202892428004,4,0,283.5575,331.2999999999997
74,10000,0.7,1,0.061488908983920156,0.06311584697165261,296.73077500076033,761.3371999410442,0.005337719322823769,0.00017609244247417788,3,0,315.1275,356.04999999999995
75,10000,0.8,1,0.05739584556866158,0.055353066501021474,302.4777572505991,920.4605399514548,0.00861052327332864,0.00037056633730553665,3,0,383.4525,467.14999999999986
76,10000,1.0,1,0.07182265887719799,0.08485335698728903,82.65356524905656,148.81715502124274,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
77,10000,2.0,1,0.04118953415220371,0.03033377694471468,220.09267124929465,336.6478350479156,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
78,10000,5.0,1,0.04750127222875112,0.03955619744195596,219.6467534985277,332.1898599970153,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
79,20000,0.2,1,0.04018807817356645,0.029137986765364547,177.17120075103594,250.1643049588892,0.0023879800068790915,0.0002187596927941966,7,0,68.475,77.04999999999995
80,20000,0.3,1,0.049932961170790796,0.0431131936731918,227.30925524956547,351.9960849953349,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
81,20000,0.4,1,0.06710637680616714,0.07519033423159448,313.48621499928413,535.6022949214093,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
82,20000,0.45,1,0.050387105827542245,0.04369866242671502,296.521826001117,434.85491497558536,0.0006601364933178433,0.00010860539716056145,4,0,176.2925,188.04999999999995
83,20000,0.5,1,0.06862306897231171,0.07830081383178218,296.1545792518882,451.9961799494921,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
84,20000,0.55,1,0.05107060203921516,0.04455463077225071,327.41725974541623,634.7095599514431,0.006025446153162655,0.0001719710977069164,3,0,226.8725,247.0
85,20000,0.6,1,0.05921311954991601,0.05889122504405936,323.10570400208235,679.9318150966428,0.005325328121663746,0.00015774265765919955,3,0,256.36,293.04999999999995
86,20000,0.65,1,0.05806915186765481,0.05666844162925594,259.9394302570727,583.5666250961358,0.0014385845026689765,0.00010093151887501721,4,0,283.96,331.2999999999997
87,20000,0.7,1,0.061492312600746835,0.0631230360443952,294.26556875085225,757.602189946919,0.003944176025831653,0.00016742173264620134,3,0,315.245,356.04999999999995
88,20000,0.8,1,0.05739584556866158,0.05535306652139425,302.7165889981552,918.0901649757287,0.00861052327332864,0.0003705762652940468,3,0,383.4525,467.14999999999986
