sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.06,11,fixedK40,40,0,1,1,19,187,0.6765799256505576,120,1,1.0,1.0,0.13227768958735173,40.0,40.0,2.6646887641091173,nan,nan,nan
0.06,11,unified_a001,40,1,1,0,19,-1,0.9866666666666667,196,1,1.0,1.0,0.16926749836667113,55.87,85.0,0.7636467653930173,13.345980012564663,59.122639743524886,577.0
0.06,12,fixedK40,40,1,1,0,19,-1,0.9333333333333333,280,1,1.0,1.0,0.13141095946999484,40.0,40.0,0.849275859191949,nan,nan,nan
0.06,12,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16280373276668342,52.233333333333334,77.0,0.711694289719781,10.899685809934446,60.22419352930606,577.0
0.06,13,fixedK40,40,0,1,1,19,168,0.5866666666666667,100,1,1.0,1.0,0.12083766638000422,40.0,40.0,2.9600948226896153,nan,nan,nan
0.06,13,unified_a001,40,0,1,1,19,189,0.51,143,1,0.9966666666666667,1.0,0.128814398060008,44.346666666666664,77.0,3.6402268190455924,24.209559474062097,71.54671165364122,577.0
0.06,14,fixedK40,40,1,1,0,19,-1,0.8076923076923077,160,1,1.0,1.0,0.1309061101922916,40.0,40.0,1.8259334964535678,nan,nan,nan
0.06,14,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1546737387733204,48.35,91.0,0.8422258791328229,10.103606334211017,62.49966605614975,577.0
0.06,15,fixedK40,40,0,1,1,19,54,0.8166666666666667,190,1,1.0,1.0,0.1322844166866753,40.0,40.0,2.240861974634794,nan,nan,nan
0.06,15,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16415576288000164,51.76,88.0,1.056121277933955,11.597218051289387,60.68767051332565,577.0
0.06,16,fixedK40,40,0,1,1,158,254,0.41333333333333333,107,1,1.0,1.0,0.11776217095666804,40.0,40.0,3.410047798609454,nan,nan,nan
0.06,16,unified_a001,40,0,1,1,19,110,0.72,114,1,1.0,1.0,0.1488352634733322,48.586666666666666,85.0,1.9995308006130479,17.721100352935114,64.41734205268016,577.0
0.06,17,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13280547918997854,40.0,40.0,1.0425057209572843,nan,nan,nan
0.06,17,unified_a001,40,0,1,1,19,225,0.83,216,1,1.0,1.0,0.14746885211332939,47.57,84.0,0.9366170542202019,13.558455077732948,63.54960883386116,577.0
0.06,18,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1343207156966734,40.0,40.0,0.32274067872291295,nan,nan,nan
0.06,18,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16567906575665953,52.236666666666665,81.0,1.1760284938657408,13.697370918301997,59.371911902000576,577.0
0.06,19,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13709998363667789,40.0,40.0,0.5784597700011953,nan,nan,nan
0.06,19,unified_a001,40,0,1,1,19,164,0.8133333333333334,158,1,1.0,1.0,0.15003155110666436,48.526666666666664,94.0,1.2761479677341725,13.858291543740627,63.827302888731815,577.0
0.06,20,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13450702387669783,40.0,40.0,0.5219820263908768,nan,nan,nan
0.06,20,unified_a001,40,0,1,1,19,124,0.49,118,1,1.0,1.0,0.12991904374668897,43.906666666666666,74.0,3.9172107256655075,25.67921314878533,69.66776738171077,577.0
0.06,21,fixedK40,40,0,1,1,19,230,0.68,153,1,1.0,1.0,0.1298080815533255,40.0,40.0,1.8114716410340566,nan,nan,nan
0.06,21,unified_a001,40,0,1,1,19,87,0.42333333333333334,44,1,1.0,1.0,0.12648026306001156,42.53333333333333,75.0,4.089142089620724,26.453593775109294,71.82451862125762,577.0
0.06,22,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.14789409306665827,40.0,40.0,0.5192009083482938,nan,nan,nan
0.06,22,unified_a001,40,0,1,1,19,89,0.63,122,1,1.0,1.0,0.14655180208665114,47.406666666666666,77.0,3.1675275802676506,21.81749246336265,66.23202316624214,577.0
0.06,23,fixedK40,40,0,1,1,19,180,0.65,171,1,1.0,1.0,0.13502310971331705,40.0,40.0,2.004577897748529,nan,nan,nan
0.06,23,unified_a001,40,0,1,1,19,170,0.7966666666666666,162,1,1.0,1.0,0.15114455232995774,47.84,82.0,2.1104550394277637,14.572509676994565,64.53663871155412,577.0
0.06,24,fixedK40,40,0,1,1,19,81,0.5833333333333334,98,1,1.0,1.0,0.13174157626333907,40.0,40.0,2.259340177841527,nan,nan,nan
0.06,24,unified_a001,40,0,1,1,19,148,0.49,140,1,1.0,1.0,0.13272564001330467,45.806666666666665,75.0,2.8639127494927483,23.977909619181748,69.37384101370418,577.0
0.06,25,fixedK40,40,0,1,1,19,137,0.6744186046511628,125,1,1.0,1.0,0.13039749146512403,40.0,40.0,2.0937849542621176,nan,nan,nan
0.06,25,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.15430580537666477,50.45333333333333,82.0,0.6135735273768912,9.53292997623139,61.77820252833596,577.0
0.06,26,fixedK40,40,0,1,1,19,273,0.8866666666666667,266,1,1.0,1.0,0.15290979832332596,40.0,40.0,1.3449425641188826,nan,nan,nan
0.06,26,unified_a001,40,0,1,1,19,259,0.8233333333333334,247,1,1.0,1.0,0.15397151845996632,52.14333333333333,81.0,1.7560984447101844,18.120322066905427,62.67879480321069,577.0
