mode,seed,K,rho,target_mode,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,tracking_rmse,tracking_phase_lag_steps,tracking_phase_lag_rad,tracking_phase_corr,tracking_amp_ratio,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,3,40,0.15,waypoint,400,355.625,556218.109375,9.18325995282304e-06,91396.66924183305,1.2320821914704552,0.02401241509063993,0.00035539570363547865,20045217.745794076,9.660043876623274e-05,0.0425,0.04465100286727118,0.10000314361931047,0.2005980452050341,0.014784924237675637,0,0.04465100286727118,0.0,0.0,-inf,23018970920.626583,3.240292917560983,6.789774228300432,0.9714073347243594,0.0025,0.034724907835820475,1.1862382218173784e-05,1.4845008607447423e-05,129.25941225053975,51703.7649002159,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.15,waypoint,400,359.6,639550.8400000001,9.481641712993475e-05,63489.21189984532,1.244090862272045,0.01211915646260386,0.0002780010593228493,20053975.928511295,6.523985624587043e-05,0.02,0.04333251419464615,0.09410304979519774,0.18075376050906805,0.015291479451438434,0,0.04333251419464615,0.0,0.0,-inf,23013296353.67809,3.449049033828832,7.136794377613624,0.8039597802033649,0.0025,0.03313246398937178,1.1881441991747166e-05,1.4954532258783647e-05,131.59083899954567,52636.33559981827,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed004.npz
adaptive_rho,5,40,0.15,waypoint,400,272.775,436212.549375,0.00011951635501342565,44189.128433761914,1.2222202062954994,0.008181272934239162,0.0003082639527268451,20053774.23447387,2.5655421757250378e-05,0.045,0.04430654471027551,0.10112246758634932,0.18032804779153147,0.015005446535942457,0,0.04430654471027551,0.0,0.0,-inf,23463503492.16098,4.139143666086505,9.652480864513986,0.9299058558192712,0.0,0.03418780682752618,1.1830108964617738e-05,1.4611501926377752e-05,131.41337975132046,52565.351900528185,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed005.npz
adaptive_rho,6,40,0.15,waypoint,400,323.55,523445.8974999999,7.89335593881731e-05,55130.83485378395,1.2064768305408895,0.025916745536370297,0.0003418248536702359,20058720.65503464,0.00011656099578716279,0.035,0.052105373939675785,0.10853673006855705,0.19056018734854613,0.015665962210039287,0,0.052105373939675785,0.0,0.0,-inf,30540192368.674126,3.507725888263568,8.03366032074712,1.222662042729419,0.0025,0.0465121860442802,1.4015080116545653e-05,1.7799965262005905e-05,131.20340075111017,52481.36030044407,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed006.npz
adaptive_rho,7,40,0.15,waypoint,400,308.625,376480.859375,0.0001573379811819429,41408.6824037275,1.2417149678971893,0.08311810088527874,0.0005996664943052461,20055346.54972298,0.0002365065897558975,0.05,0.03679611750422878,0.08061695364748199,0.18291799181937143,0.016105312494441675,0,0.03679611750422878,0.0,0.0,-inf,15775208943.314821,3.0916239084286588,6.52014865301582,0.562490553940697,0.0,0.024576303925515786,9.56292353347618e-06,1.1472986557933459e-05,129.6030374991824,51841.21499967296,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed007.npz
adaptive_rho,8,40,0.15,waypoint,400,306.575,452246.519375,6.906937291980635e-05,48498.669579349,1.2112579363579303,0.041523754144390794,0.00042953907756590416,20054863.718892325,0.00011997244745648362,0.045,0.04528380789004103,0.10576398328798267,0.18784995195697984,0.01538356844092042,0,0.04528380789004103,0.0,0.0,-inf,23236780930.711803,3.1694267235548734,8.40785338768547,1.2321233779269074,0.0025,0.035205163301685244,1.1881009043999878e-05,1.4621654378090037e-05,127.24301774986088,50897.20709994435,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed008.npz
adaptive_rho,9,40,0.15,waypoint,400,346.575,540071.019375,8.344127103409954e-05,55904.820762709816,1.220123838208575,0.016014753037156035,0.0003056095193185136,20056445.386717718,0.00010401681118433424,0.035,0.04877118571915002,0.10399979279439382,0.1845092985691772,0.01600832685892781,0,0.04877118571915002,0.0,0.0,-inf,27525898980.768147,3.403285641477831,7.484156663719005,0.5734525673339255,0.0,0.04080721525319481,1.3351556359539649e-05,1.700361133538493e-05,129.97835000278428,51991.34000111371,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.15_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed009.npz
adaptive_rho,0,40,0.2,waypoint,400,692.65,1054659.4775,7.965389879260528e-06,98334.6242878848,1.4086727252997842,0.04741395664410076,0.00044654435953023837,20044747.530053116,0.00021829236587179893,0.0275,0.037323167765481606,0.08428110896723173,0.18933254054304896,0.015421934050313075,0,0.037323167765481606,0.0,0.0,-inf,16263691249.88545,3.7926011915405153,7.709533517816204,0.6435434272930133,0.005,0.025441059154024854,9.793796311044342e-06,1.1797667123416822e-05,141.56880475376965,56627.52190150786,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.2,waypoint,400,588.075,911238.044375,8.05944688592033e-06,86286.43373355345,1.3888682237397774,0.012215327501036346,0.0003577802454336943,20043114.506626364,0.000814946692112656,0.025,0.037063787142360194,0.08341584256212319,0.1845795350613701,0.030210073359142293,0,0.037063787142360194,0.0,0.0,-inf,18489979120.299038,5.425857496208022,11.351762360102157,0.8172850135487678,0.0025,0.025631780938710297,9.926356414860512e-06,1.2408536222826786e-05,141.758047248004,56703.2188992016,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.2,waypoint,400,755.55,1035648.6975,9.250298492301859e-06,89833.50237499148,1.459638128233076,0.07899178892211983,0.0006767420565119637,20044784.772805966,0.00031997169592732727,0.0275,0.037369616057831234,0.0806304986310677,0.1965072841060796,0.018166277825688183,0,0.037369616057831234,0.0,0.0,-inf,16146418468.98576,5.514121403200475,10.965961737781857,0.8542128091543993,0.005,0.025880819633333087,9.53939339794231e-06,1.1598897225402317e-05,157.14142449898645,62856.56979959458,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.2_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed002.npz
