K,seed,t,sigma_min_Mk,solve_ms,slack_inf,status
710,3,3,0.21640371090366645,52.118000108748674,0.03068511468688696,optimal
710,3,4,0.21320842861920253,75.4852001555264,0.005971363295208337,optimal
710,3,5,0.2208649880525393,65.84559986367822,0.019646183686340576,optimal
710,3,6,0.22627788490647546,64.56169998273253,0.013254145343604473,optimal
710,3,7,0.2280172273365773,39.86610006541014,0.02106810232479666,optimal
710,3,8,0.23552985002638485,49.029899993911386,0.003318864226277916,optimal
710,3,9,0.2244896966293553,158.8405000511557,0.10622967058760154,optimal_inaccurate
710,3,10,0.2208364758833755,37.08479995839298,0.031232084672487306,optimal
710,3,11,0.21618503391807986,67.7778001409024,0.011270836018816899,optimal
710,3,12,0.22016427506878308,44.39459997229278,0.010854786642338837,optimal
710,3,13,0.24123538370637773,53.367899963632226,0.0005731019282170814,optimal
710,3,14,0.22630613901183338,66.33890001103282,0.014895014274494526,optimal
710,3,15,0.24893644685917202,42.82750003039837,0.012295719817476316,optimal
710,3,16,0.22544150824695122,87.90510008111596,0.013994550743248079,optimal_inaccurate
710,3,17,0.22462475915998273,88.05810008198023,0.04865233261704446,optimal_inaccurate
710,3,18,0.22353079776458437,34.865699941292405,0.03897686401875161,optimal
710,3,19,0.223536054706733,55.87109993211925,0.014627872756177792,optimal
710,3,20,0.21886001812119138,62.04350013285875,0.010634662609378448,optimal
710,3,21,0.20375512420327244,134.41399997100234,0.0023954598395040942,optimal
710,3,22,0.21899702423873432,83.47720000892878,0.009215501241444365,optimal
710,3,23,0.21029910640431845,78.84599990211427,0.005442026818430758,optimal
710,3,24,0.2349771853147196,78.04089994169772,0.007178844784466932,optimal
710,3,25,0.21023738723887975,84.68809979967773,0.0024940281094346798,optimal
710,3,26,0.2062671173328065,98.55569992214441,0.0026253594687586927,optimal
710,3,27,0.21891508114729202,41.35760013014078,0.01547036621697843,optimal
710,3,28,0.21476792776416245,60.27079978957772,0.050977777008805444,optimal
710,3,29,0.22426964966410678,83.06710002943873,0.004132658023633743,optimal
710,3,30,0.21495106752577103,103.9302998688072,0.03302183877612389,optimal_inaccurate
710,3,31,0.23203114563969934,54.34010014869273,0.018029476334534913,optimal
710,3,32,0.23094460971670622,66.15189998410642,0.006274869804141375,optimal
710,3,33,0.2322639246708444,55.731199914589524,0.017528669860398777,optimal
710,3,34,0.2163302321740618,68.89500003308058,0.01964814665688683,optimal
710,3,35,0.21657814434952583,69.73069999366999,0.050783834023676505,optimal
710,3,36,0.21255742350052426,65.29760011471808,2.3137358447103553,optimal
710,3,37,0.22103334818162368,61.34239980019629,0.07818868790191844,optimal
710,3,38,0.2163523608146738,75.92500001192093,0.08771097294942448,optimal
710,3,39,0.20699410655092043,90.55109997279942,0.1876079330996801,optimal_inaccurate
