K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
260,0,0.10353647417311355,0.17361227640748308,4.027693944028884e-05,5.426323547881219e-05,251.22080700239167,7428.118630263569,401.7254901002161,0.33731983292139567,0.00021179601296202313,0.2845347607458273,0.3161123873031231,9.899669745306364e-05,6.872869100587497e-10,0.0002693710881497035,260.0,0.0,260.0,260.0,1.0,0.0
260,1,0.08016603212369207,0.10396039987687779,3.036162299575854e-05,4.1325056522750105e-05,215.97379074431956,6889.063009376875,376.3483100803568,0.3146667454779622,0.0011393851824010068,0.23726299907479598,0.26024886424347815,9.647728723185755e-05,7.983195010757416e-10,0.0003254803690642892,260.0,0.0,260.0,260.0,1.0,0.0
260,2,0.08824956411121465,0.12608356585818745,3.374273838660701e-05,4.638364940255934e-05,252.2529414895689,11970.652327360813,457.4911248520947,0.32430655447422324,0.0007401656084017147,0.23801521966793912,0.2822974219589188,9.844324256207667e-05,9.153244177603363e-10,0.0003841625829194389,260.0,0.0,260.0,260.0,1.0,0.0
260,3,0.08801454749615706,0.1254099742789708,3.394219686359227e-05,4.7082444176784486e-05,248.1578415055992,8773.988693538404,412.07343996502453,0.32908131767185866,0.00047470418187855524,0.25607530701830195,0.2922519046095005,9.828724224506246e-05,5.921745090987501e-10,0.00027841418526449764,260.0,0.0,260.0,260.0,1.0,0.0
260,4,0.08992147086287564,0.13061754560912928,3.458981186609164e-05,4.758696183035256e-05,229.40303900279105,8154.822495384286,391.7035148013383,0.327263138820498,0.0005662105444583014,0.2501308810672402,0.2890571282400433,9.758258705360781e-05,8.435075049136662e-10,0.00031761273137534353,260.0,0.0,260.0,260.0,1.0,0.0
310,0,0.11588719048784424,0.2163348924689243,4.591337430663217e-05,6.0938370724771226e-05,296.563340757275,8005.967480192846,434.7166900872252,0.3796007661521636,0.0001089621826434516,0.334247488848193,0.3661806554126414,9.58208752654035e-05,7.521136760179358e-10,0.00035757763001561106,310.0,0.0,310.0,310.0,1.0,0.0
310,1,0.07934968245674243,0.10194582719775397,2.885357577352673e-05,3.8947610821871e-05,230.48379900981672,8651.885078666879,406.2952101347036,0.3509120792755869,0.0011630647935105165,0.2698605413841218,0.29388491365638697,9.478189332458524e-05,7.290899060494099e-10,0.0002911790817105228,310.0,0.0,310.0,310.0,1.0,0.0
310,2,0.08871443795587972,0.12731086531931285,3.3431226037879826e-05,4.5472268065572074e-05,247.76456474908628,10786.550697303659,444.4922950351611,0.3573613388194275,0.0012084735963882951,0.27899964410991174,0.2922874428138192,9.528929084966585e-05,8.331744420757429e-10,0.00033584729239808026,310.0,0.0,310.0,310.0,1.0,0.0
310,3,0.09109874060193639,0.13426049511028296,3.465106008091355e-05,4.739673934325488e-05,248.35129999322817,10753.661901046,437.0724349631928,0.36135223654128057,0.0009537680183167093,0.2711075873484218,0.30405594779154194,9.760952042521915e-05,1.0834306375660862e-09,0.0003941103660511981,310.0,0.0,310.0,310.0,1.0,0.0
310,4,0.08416398202505423,0.1145389464219703,3.099850767542932e-05,4.202830865681033e-05,229.74634550046176,9100.200818649173,401.24004497192794,0.35344052579595386,0.0012058794558903923,0.27152292801149824,0.2915948024504719,9.559569889312066e-05,7.838371854412498e-10,0.0003626271235497863,310.0,0.0,310.0,310.0,1.0,0.0
360,0,0.09773940572871721,0.1540059757993763,3.724007223028241e-05,5.033434200223748e-05,271.0613840055885,9903.961199860203,433.4138398175128,0.40102745796637995,0.0009369114434512809,0.30531442116349294,0.33738730711218706,9.636126832544356e-05,6.283225332012734e-10,0.0002994909761913373,360.0,0.0,360.0,360.0,1.0,0.0
360,1,0.08760467188181031,0.12395114325140147,3.210402076529434e-05,4.327735494383168e-05,270.7745204976527,15932.110982561699,425.69893492618576,0.39384643070278685,0.0010849309157727172,0.3165151328180944,0.3347488817092481,0.00013679627803916017,2.877034752886347e-07,0.010255275785600097,360.0,0.0,360.0,360.0,0.9875,5.0
