seed,method,K,fail_practical,infeasible_step_rate,fallback_episode,mean_solve_time,mean_K_used,max_K_used,success,reached,fall_down
27,fixedK50,50,1,0.86,1,0.147360077756645,50.0,50.0,1,1,0
27,fixedK60,60,1,0.8033333333333333,1,0.16337511608340718,60.0,60.0,1,1,0
27,fixedK70,70,1,0.7833333333333333,1,0.17738839501007533,70.0,70.0,1,1,0
27,fixedK80,80,1,0.7233333333333334,1,0.22492816997006837,80.0,80.0,1,1,0
27,unified_a001,40,1,0.8433333333333334,1,0.17737666514666367,69.1,75.0,1,1,0
28,fixedK30,30,1,0.8966666666666666,1,0.1154009198733426,30.0,30.0,1,1,0
28,fixedK40,40,1,0.8833333333333333,1,0.13820464802341423,40.0,40.0,1,1,0
28,fixedK50,50,1,0.8233333333333334,1,0.14775338278338193,50.0,50.0,1,1,0
28,fixedK60,60,1,0.8,1,0.16403029723006207,60.0,60.0,1,1,0
28,fixedK70,70,1,0.7933333333333333,1,0.19736045039000602,70.0,70.0,1,1,0
28,fixedK80,80,1,0.6266666666666667,1,0.2252861205767719,80.0,80.0,1,1,0
28,unified_a001,40,1,0.7366666666666667,1,0.2126342752933427,73.13333333333334,75.0,1,1,0
29,fixedK30,30,1,0.9666666666666667,1,0.12646429351668,30.0,30.0,1,1,0
29,fixedK40,40,1,0.8866666666666667,1,0.15402183654668988,40.0,40.0,1,1,0
29,fixedK50,50,1,0.8,1,0.15562660707003184,50.0,50.0,1,1,0
29,fixedK60,60,1,0.8233333333333334,1,0.17745241611667248,60.0,60.0,1,1,0
29,fixedK70,70,1,0.7866666666666666,1,0.19683319947667768,70.0,70.0,1,1,0
29,fixedK80,80,1,0.49666666666666665,1,0.23718245071332908,80.0,80.0,1,1,0
29,unified_a001,40,1,0.82,1,0.195121758059989,68.86666666666666,75.0,1,1,0
30,fixedK30,30,1,0.9733333333333334,1,0.1266359580833402,30.0,30.0,1,1,0
30,fixedK40,40,1,0.9466666666666667,1,0.1385045323366224,40.0,40.0,1,1,0
30,fixedK50,50,1,0.8,1,0.15784728344330992,50.0,50.0,1,1,0
30,fixedK60,60,1,0.7933333333333333,1,0.1854841616600182,60.0,60.0,1,1,0
30,fixedK70,70,1,0.81,1,0.20223897527667456,70.0,70.0,1,1,0
30,fixedK80,80,1,0.5,1,0.23872307458008435,80.0,80.0,1,1,0
30,unified_a001,40,1,0.7833333333333333,1,0.20274746067005253,68.13333333333334,80.0,1,1,0
31,fixedK30,30,1,0.7733333333333333,1,0.12427039846001207,30.0,30.0,1,1,0
31,fixedK40,40,1,0.7966666666666666,1,0.1440813997565965,40.0,40.0,1,1,0
31,fixedK50,50,1,0.83,1,0.15429936224336416,50.0,50.0,1,1,0
31,fixedK60,60,1,0.8033333333333333,1,0.17358635415331566,60.0,60.0,1,1,0
31,fixedK70,70,1,0.7866666666666666,1,0.18640499551000175,70.0,70.0,1,1,0
31,fixedK80,80,1,0.35,1,0.22875828931006253,80.0,80.0,1,1,0
31,unified_a001,40,1,0.8366666666666667,1,0.17976629584329204,67.51666666666667,75.0,1,1,0
32,fixedK30,30,1,0.93,1,0.13054643040334366,30.0,30.0,1,1,0
32,fixedK40,40,1,0.93,1,0.14933780236662036,40.0,40.0,1,1,0
32,fixedK50,50,1,0.85,1,0.15917806512331784,50.0,50.0,1,1,0
32,fixedK60,60,1,0.8333333333333334,1,0.17959845540992925,60.0,60.0,1,1,0
32,fixedK70,70,1,0.8066666666666666,1,0.19362839763666972,70.0,70.0,1,1,0
32,fixedK80,80,1,0.52,1,0.24630532371994074,80.0,80.0,1,1,0
32,unified_a001,40,1,0.7933333333333333,1,0.18632750154332825,68.18333333333334,80.0,1,1,0
33,fixedK30,30,1,0.93,1,0.12576671556344687,30.0,30.0,1,1,0
33,fixedK40,40,1,0.85,1,0.1479910651466283,40.0,40.0,1,1,0
33,fixedK50,50,1,0.8266666666666667,1,0.1717218043299969,50.0,50.0,1,1,0
33,fixedK60,60,1,0.8366666666666667,1,0.1953624594132695,60.0,60.0,1,1,0
33,fixedK70,70,1,0.7533333333333333,1,0.21153643359999477,70.0,70.0,1,1,0
33,fixedK80,80,1,0.62,1,0.23723134652667188,80.0,80.0,1,1,0
33,unified_a001,40,1,0.77,1,0.2094412497199361,71.1,80.0,1,1,0
34,fixedK30,30,1,0.9666666666666667,1,0.12636173334669973,30.0,30.0,1,1,0
34,fixedK40,40,1,0.8333333333333334,1,0.15045648207997753,40.0,40.0,1,1,0
34,fixedK50,50,1,0.8,1,0.1645270807100375,50.0,50.0,1,1,0
34,fixedK60,60,1,0.67,1,0.1910859395800071,60.0,60.0,1,1,0
34,fixedK70,70,1,0.81,1,0.2185072163766199,70.0,70.0,1,1,0
34,fixedK80,80,1,0.6266666666666667,1,0.2291919058600009,80.0,80.0,1,1,0
34,unified_a001,40,1,0.8433333333333334,1,0.18821085192673007,68.83333333333333,80.0,1,1,0
35,fixedK30,30,1,0.9166666666666666,1,0.12357208583663426,30.0,30.0,1,1,0
35,fixedK40,40,1,0.8533333333333334,1,0.14460481504334893,40.0,40.0,1,1,0
35,fixedK50,50,1,0.8266666666666667,1,0.14652486696336686,50.0,50.0,1,1,0
35,fixedK60,60,1,0.82,1,0.17358318471335224,60.0,60.0,1,1,0
35,fixedK70,70,1,0.75,1,0.20543881977331088,70.0,70.0,1,1,0
35,fixedK80,80,1,0.64,1,0.2514194579332616,80.0,80.0,1,1,0
35,unified_a001,40,1,0.7333333333333333,1,0.20872715361000396,71.05,75.0,1,1,0
36,fixedK30,30,1,0.9166666666666666,1,0.12709369304332843,30.0,30.0,1,1,0
36,fixedK40,40,1,0.8433333333333334,1,0.14752318708002957,40.0,40.0,1,1,0
36,fixedK50,50,1,0.85,1,0.16534428151672426,50.0,50.0,1,1,0
36,fixedK60,60,1,0.8166666666666667,1,0.18371437625669085,60.0,60.0,1,1,0
36,fixedK70,70,1,0.8166666666666667,1,0.19627656778005986,70.0,70.0,1,1,0
