sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.0,13,fixedK30,30,0,1,1,19,220,0.8104089219330854,215,1,0.9851301115241635,1.0,0.09275795675832721,30.0,30.0,1.005544159470397,nan,nan,nan
0.0,13,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.86,1.0,0.11820716044332281,40.0,40.0,0.11684964904359542,nan,nan,nan
0.0,13,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8166666666666667,1.0,0.13188639154003795,50.0,50.0,0.14647522030344493,nan,nan,nan
0.0,13,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.82,1.0,0.14597949151669734,60.0,60.0,0.18614442005908766,nan,nan,nan
0.0,13,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.8033333333333333,1.0,0.1619734070833268,70.0,70.0,0.2354873646057787,nan,nan,nan
0.0,13,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.44,1.0,0.1977031728866344,80.0,80.0,0.2741991060523502,nan,nan,nan
0.0,13,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8033333333333333,1.0,0.16857666357665038,68.08333333333333,80.0,0.23632069050303045,10.006142363772863,59.33373829421966,577.0
0.0,14,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9,1.0,0.10230373485003838,30.0,30.0,0.07911411136331296,nan,nan,nan
0.0,14,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8766666666666667,1.0,0.11922621990996958,40.0,40.0,0.11295727298870094,nan,nan,nan
0.0,14,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8033333333333333,1.0,0.14723812508335565,50.0,50.0,0.15796823210823174,nan,nan,nan
0.0,14,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.7933333333333333,1.0,0.17289156739999878,60.0,60.0,0.19968152485849852,nan,nan,nan
0.0,14,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.84,1.0,0.17371294765331793,70.0,70.0,0.3124699858245549,nan,nan,nan
