sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,local_min_cands,local_max_cands,clamp_reason
0.12,6,fixedK40,0,1,1,73,99,0.08386386517666627,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,6,unified_a001,0,1,1,66,89,0.09142231611333955,42.9,95.0,1.0,21.73601360530116,70.20148974409872,577.0,100,1000,none
0.12,7,fixedK40,0,1,1,130,240,0.08865848694666056,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,7,unified_a001,0,1,1,134,273,0.08800808379664886,42.38333333333333,75.0,1.0,24.889298330635558,68.998731683529,577.0,100,1000,none
0.12,8,fixedK40,0,1,1,123,163,0.0788172340513764,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,8,unified_a001,0,1,1,67,78,0.09669212513945921,44.625850340136054,85.0,1.0,21.904729862411926,69.31043444454123,577.0,100,1000,none
0.12,9,fixedK40,0,1,1,53,267,0.09222670486333906,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,9,unified_a001,0,1,1,145,236,0.10011585322333,44.516666666666666,85.0,1.0,21.85648633573354,66.95602409813335,577.0,100,1000,none
0.12,10,fixedK40,0,1,1,61,68,0.08412883015488928,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,10,unified_a001,1,1,0,266,-1,0.08462282001009923,41.53198653198653,80.0,1.0,26.2311173319389,72.92584843782252,577.0,100,1000,none
0.12,11,fixedK40,0,1,1,52,59,0.07411212402922496,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,11,unified_a001,0,1,1,52,182,0.09746669473996614,42.9,85.0,1.0,22.151490747789012,67.46156617903799,577.0,100,1000,none
0.12,12,fixedK40,0,1,1,64,96,0.08862905402665698,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,12,unified_a001,0,1,1,64,88,0.08221341992698859,41.12359550561798,80.0,1.0,31.180004917748622,76.55069533372195,577.0,100,1000,none
0.12,13,fixedK40,0,1,1,66,119,0.08730426415335084,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,13,unified_a001,1,1,0,139,-1,0.0852772723725388,42.6797385620915,80.0,1.0,25.295440733279772,72.98397760636978,577.0,100,1000,none
0.12,14,fixedK40,0,1,1,57,99,0.08279980030184451,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,14,unified_a001,0,1,1,61,109,0.09581570968673077,43.833333333333336,80.0,1.0,23.347861422169107,69.38339456103287,577.0,100,1000,none
0.12,15,fixedK40,0,1,1,64,76,0.08588008583028402,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,15,unified_a001,1,1,0,262,-1,0.0873013861266827,41.96666666666667,75.0,1.0,26.259960108333544,71.94119843232812,577.0,100,1000,none
0.12,16,fixedK40,0,1,1,53,173,0.08627342416669004,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,16,unified_a001,0,0,0,300,-1,0.07843889737376579,41.111111111111114,65.0,1.0,31.526270084858513,78.20715829050737,577.0,100,1000,none
0.12,17,fixedK40,0,1,1,64,71,0.08035042790982207,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,17,unified_a001,0,1,1,170,217,0.07961827443998118,40.85,70.0,1.0,28.62971046812297,76.94426944571528,577.0,100,1000,none
0.12,18,fixedK40,0,1,1,87,207,0.08637802274999255,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,18,unified_a001,0,1,1,64,178,0.09495125316997777,42.95,75.0,1.0,25.472313478736922,71.36980093493817,577.0,100,1000,none
0.12,19,fixedK40,1,1,0,173,-1,0.08159257291997771,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,19,unified_a001,0,1,1,55,63,0.08911373415331884,44.11666666666667,80.0,1.0,24.866234125997476,70.42602059793958,577.0,100,1000,none
