sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.02,39,fixedK40,0,1,1,84,140,0.09994079242701412,40.0,40.0,nan,nan,nan,nan,0.33941605839416056,67,3,100,1000
0.02,39,unified_a001,0,0,0,300,-1,0.09138269418334403,40.75,70.0,1.0,30.324412966960043,77.34215894020706,577.0,0.05333333333333334,16,1,100,1000
0.02,40,fixedK40,0,1,1,74,88,0.09654870108000371,40.0,40.0,nan,nan,nan,nan,0.15,26,2,100,1000
0.02,40,unified_a001,0,1,1,55,126,0.1389457579133265,52.36666666666667,85.0,1.0,20.650675311912654,68.21673606073938,577.0,0.6033333333333334,99,1,100,1000
0.02,41,fixedK40,1,1,0,96,-1,0.11340103998666261,40.0,40.0,nan,nan,nan,nan,0.7433333333333333,218,2,100,1000
0.02,41,unified_a001,0,1,1,61,163,0.13370024749000853,49.166666666666664,85.0,1.0,16.60677911731723,66.54855329404847,577.0,0.6666666666666666,111,2,100,1000
0.02,42,fixedK40,1,1,0,179,-1,0.09763635658210565,40.0,40.0,nan,nan,nan,nan,0.23880597014925373,34,2,100,1000
0.02,42,unified_a001,0,1,1,65,117,0.1359779748566719,53.483333333333334,90.0,1.0,17.323759039936412,65.4713307107807,577.0,0.66,135,1,100,1000
0.02,43,fixedK40,0,1,1,70,157,0.10246021997332719,40.0,40.0,nan,nan,nan,nan,0.5766666666666667,97,2,100,1000
0.02,43,unified_a001,0,1,1,53,232,0.11898888985999595,47.05,80.0,1.0,18.926175295485596,67.87737641734178,577.0,0.53,159,1,100,1000
0.02,44,fixedK40,0,1,1,52,108,0.09990197336000164,40.0,40.0,nan,nan,nan,nan,0.31333333333333335,67,3,100,1000
0.02,44,unified_a001,0,1,1,56,182,0.11369812361001247,46.3,85.0,1.0,20.326771324684515,68.480725063728,577.0,0.53,138,3,100,1000
0.02,45,fixedK40,0,0,0,300,-1,0.09000147192523825,40.0,40.0,nan,nan,nan,nan,0.04672897196261682,8,2,100,1000
0.02,45,unified_a001,0,1,1,130,144,0.12871350500666418,50.06666666666667,80.0,1.0,22.06245486857338,68.876520752879,577.0,0.49666666666666665,114,2,100,1000
0.02,46,fixedK40,1,1,0,98,-1,0.10881421290000162,40.0,40.0,nan,nan,nan,nan,0.7366666666666667,221,0,100,1000
0.02,46,unified_a001,1,1,0,128,-1,0.13205769042332274,52.56666666666667,85.0,1.0,15.235822245435031,65.36892203001283,577.0,0.7,191,1,100,1000
0.02,47,fixedK40,1,1,0,84,-1,0.1079638199699942,40.0,40.0,nan,nan,nan,nan,0.8066666666666666,235,1,100,1000
0.02,47,unified_a001,1,1,0,179,-1,0.1252011908533344,50.983333333333334,80.0,1.0,23.922988333714592,69.17178584712934,577.0,0.4666666666666667,140,0,100,1000
0.02,48,fixedK40,0,0,0,300,-1,0.08669068981000844,40.0,40.0,nan,nan,nan,nan,0.04666666666666667,14,1,100,1000
0.02,48,unified_a001,0,1,1,63,86,0.1047312068099912,42.86666666666667,70.0,1.0,27.137390769369837,74.05482557721841,577.0,0.19,35,3,100,1000
0.02,49,fixedK40,0,1,1,70,79,0.12062853789998826,40.0,40.0,nan,nan,nan,nan,0.6533333333333333,174,1,100,1000
0.02,49,unified_a001,1,1,0,175,-1,0.1325292979100171,51.28333333333333,80.0,1.0,21.20009966512501,68.51527107540615,577.0,0.48,144,0,100,1000
0.03,0,fixedK40,1,1,0,176,-1,0.10797339707333928,40.0,40.0,nan,nan,nan,nan,0.48,143,1,100,1000
0.03,0,unified_a001,0,0,0,300,-1,0.09364681958332767,40.81666666666667,75.0,1.0,31.952759503772445,79.29748469764354,577.0,0.06333333333333334,19,1,100,1000
0.03,1,fixedK40,0,1,1,182,197,0.10378099998332649,40.0,40.0,nan,nan,nan,nan,0.16333333333333333,24,3,100,1000
0.03,1,unified_a001,1,1,0,62,-1,0.13604751984666563,50.96666666666667,85.0,1.0,11.476334713543036,64.08168488582216,577.0,0.8566666666666667,257,0,100,1000
0.03,2,fixedK40,0,1,1,80,113,0.10717899082245545,40.0,40.0,nan,nan,nan,nan,0.5652173913043478,110,3,100,1000
0.03,2,unified_a001,0,1,1,81,225,0.12429909877334619,47.766666666666666,85.0,1.0,16.60717416935222,65.80229405961732,577.0,0.6533333333333333,154,2,100,1000
0.03,3,fixedK40,1,1,0,80,-1,0.10563965836187587,40.0,40.0,nan,nan,nan,nan,0.3619047619047619,38,1,100,1000
