seed,K,sigma_y,direct_set_ok,mean_sigma_min,min_sigma_min,mean_lambda_min,min_lambda_min,mean_solve_time
9,80,0.0,1,1.731508124740958,0.4340921683662454,5.821529517781069,0.18843601063690876,0.1737774187566659
10,80,0.0,1,0.7030237762828118,0.46670047156943756,0.5588544678857533,0.21780933016313542,0.1827493108366404
11,80,0.0,1,0.4971487736664786,0.48231751427056213,0.24718503180885656,0.23263018457213389,0.16935495875665463
12,80,0.0,1,0.7614360557823648,0.4840755069757472,0.6190156798649649,0.23432909645382666,0.17690318569664668
13,80,0.0,1,0.6625897358211055,0.4809968216294689,0.47496914089051084,0.2313579424176511,0.17275632236665237
14,80,0.0,1,0.5098781280693413,0.4744745925259803,0.26613854001790854,0.22512613895269504,0.1789232917933229
15,80,0.0,1,0.5532165147541539,0.4790047104173554,0.3234623827852717,0.22944551260201446,0.19383242736666945
16,80,0.0,1,0.5173821244379475,0.46209149283130646,0.27653398903676996,0.21352854774706537,0.17661952638666661
17,80,0.0,1,0.5843135869575294,0.4688667708932195,0.36737152936641226,0.21983604884783478,0.1894607049866833
18,80,0.0,1,0.6248942340905418,0.4684957742936055,0.429778360753441,0.21948829053096497,0.1738821191566755
19,80,0.0,1,0.5160484767970445,0.462720919160682,0.2749065215888494,0.2141106490289064,0.17483768471331737
20,80,0.0,1,0.6147156651286381,0.4695036181499421,0.4497308017692109,0.22043364745588667,0.1930859035899842
21,80,0.0,1,0.6019013177857839,0.4616460125324064,0.39172706080424974,0.21311704088707073,0.18700787879000322
22,80,0.0,1,0.5170871160175942,0.46537863663361045,0.2757084567394193,0.21657727543495803,0.17451773084333277
23,80,0.0,1,0.7265216409885007,0.48229213910525065,0.5705727567632761,0.23260570744271847,0.17820904832338177
24,80,0.0,1,0.5031113539642045,0.48573007163048987,0.2550180501581612,0.2359337024861608,0.1725291200066537
25,80,0.0,1,0.4992209778830814,0.48737884621652344,0.2492227638174488,0.2375381397393496,0.1710951732133041
26,80,0.0,1,0.49904783783564766,0.4866588753295373,0.24904950204138576,0.23683686093701012,0.17147368830001142
27,80,0.0,1,0.5291767779714597,0.479023720495239,0.2975435112384932,0.22946372479710087,0.17152698025334756
28,80,0.0,1,0.5164476460959189,0.45023279220366813,0.2740266998336318,0.2027095671755114,0.17832279528667036
29,80,0.0,1,0.5233274773902303,0.48231751427056213,0.286425648209904,0.23263018457213389,0.16922377634334226
