seed,scenario,method,theta0,thetadot0,success,reached,fall_down,time_to_upright,avg_solve_time,mean_K_used
5,unseen,fixedK40,-0.05919707314409664,-0.12522158115080212,0,1,1,19,0.09148585668666252,40.0
5,unseen,unified_a001,-0.05919707314409664,-0.12522158115080212,0,1,1,19,0.11404438440333327,48.96666666666667
6,unseen,fixedK40,-0.29633457580337896,0.29159075123062034,0,1,1,19,0.10091712082426513,40.0
6,unseen,unified_a001,-0.29633457580337896,0.29159075123062034,0,1,1,19,0.11395378165666822,47.916666666666664
7,unseen,fixedK40,-0.1763676838177394,-0.5218493839244631,0,1,1,19,0.09344365833666947,40.0
7,unseen,unified_a001,-0.1763676838177394,-0.5218493839244631,0,1,1,19,0.10705179249000063,46.35
8,unseen,fixedK40,-0.20850119480257379,-0.08075264024611684,1,1,0,19,0.1074837102300042,40.0
8,unseen,unified_a001,-0.20850119480257379,-0.08075264024611684,0,1,1,19,0.11221956891666954,48.983333333333334
9,unseen,fixedK40,0.22894432336976145,-0.09266398047747265,0,1,1,19,0.10248896567000126,40.0
9,unseen,unified_a001,0.22894432336976145,-0.09266398047747265,0,1,1,19,0.12527794191666014,51.45
10,unseen,fixedK40,0.2839073492447473,-0.14003479268468272,0,1,1,19,0.10308263529999825,40.0
10,unseen,unified_a001,0.2839073492447473,-0.14003479268468272,1,1,0,19,0.13461547857334002,53.36666666666667
11,unseen,fixedK40,0.25705782963512397,-0.6736543040541583,0,1,1,19,0.10069461778333183,40.0
11,unseen,unified_a001,0.25705782963512397,-0.6736543040541583,0,1,1,19,0.13121420808999876,54.833333333333336
12,unseen,fixedK40,0.14584161357412473,0.11968487482059753,1,1,0,19,0.10186207412997192,40.0
12,unseen,unified_a001,0.14584161357412473,0.11968487482059753,1,1,0,19,0.13412778303998646,55.56666666666667
13,unseen,fixedK40,-0.192597083509356,-0.30452762851817705,0,1,1,19,0.10490344057666032,40.0
13,unseen,unified_a001,-0.192597083509356,-0.30452762851817705,0,1,1,19,0.11678401282275584,47.92642140468227
14,unseen,fixedK40,-0.16626955744632838,-0.737047295329398,0,1,1,19,0.09625638154667134,40.0
14,unseen,unified_a001,-0.16626955744632838,-0.737047295329398,0,1,1,19,0.12042007559335464,49.11666666666667
15,unseen,fixedK40,0.1599373175449,-0.3299335524593685,0,1,1,19,0.10182294678667556,40.0
15,unseen,unified_a001,0.1599373175449,-0.3299335524593685,1,1,0,19,0.12946714318666788,53.516666666666666
16,unseen,fixedK40,0.19003800102236293,-0.5149158893337057,0,1,1,19,0.104656902753336,40.0
16,unseen,unified_a001,0.19003800102236293,-0.5149158893337057,0,1,1,19,0.10051172807667626,45.56666666666667
17,unseen,fixedK40,0.11455888210527093,0.5964365007612881,1,1,0,19,0.10277868332999787,40.0
17,unseen,unified_a001,0.11455888210527093,0.5964365007612881,1,1,0,19,0.12507794584666043,51.61666666666667
18,unseen,fixedK40,-0.05822506662338736,-0.16560501213869466,0,1,1,19,0.08920511972334376,40.0
18,unseen,unified_a001,-0.05822506662338736,-0.16560501213869466,1,1,0,19,0.12727498664333023,51.15
19,unseen,fixedK40,-0.12431030873935713,0.403515920809814,1,1,0,19,0.11514894499999476,40.0
19,unseen,unified_a001,-0.12431030873935713,0.403515920809814,1,1,0,19,0.16094220169001042,62.333333333333336
